title,link,watched
Урок 33. Решение усложненных задач на РУД,https://www.youtube.com/watch?v=zFwbpn_gp-A&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=36,Yes
Урок 34. Свободное падение. Ускорение свободного падения,https://www.youtube.com/watch?v=Io2Nq6f3HuQ&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=37,Yes
Урок 35. Решение задач на свободное падение,https://www.youtube.com/watch?v=d6eqXfoAD78&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=38,Yes
Урок 36. Измерение ускорения стробоскопическим методом,https://www.youtube.com/watch?v=kOBTqHhJCl4&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=39,Yes
"Урок 37. Движение тела, брошенного под углом к горизонту (начало)",https://www.youtube.com/watch?v=rscPxlPHTPU&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=40,Yes
"Урок 38. Движение тела,брошенного под углом к горизонту (окончание)",https://www.youtube.com/watch?v=A-D2C7eBtto&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=41,Yes
"Урок 39. Простейшие задачи о движении тела, брошенного под углом к горизонту",https://www.youtube.com/watch?v=BNS3SaZwJ7E&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=42,Yes
"Урок 40. Задачи на движение тела, брошенного под углом к горизонту (ч.1)",https://www.youtube.com/watch?v=KDjPlBerBTU&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=43,Yes
"Урок 41. Задачи на движение тела, брошенного под углом к горизонту (ч.2)",https://www.youtube.com/watch?v=6tzEobGRcAw&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=44,Yes
Урок 42. Консультация перед КР по РУД,https://www.youtube.com/watch?v=SGt0dMqyg3E&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=45,Yes
Урок 43. Криволинейное движение. Равномерное движение по окружности. Центростремительное ускорение,https://www.youtube.com/watch?v=JKjXRD4ZmWg&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=46,Yes
Урок 44. Вращение твердого тела. Линейная и угловая скорость. Период и частота вращения.,https://www.youtube.com/watch?v=2m1Wwj5DEHc&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=47,Yes
Урок 45. Простейшие задачи на криволинейное и вращательное движение,https://www.youtube.com/watch?v=_fpwKSMGuRk&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=48,Yes
Урок 46. Задачи на криволинейное и вращательное движение,https://www.youtube.com/watch?v=TvN7Q_b3e1g&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=49,Yes
Урок 47. Неравномерное движение по окружности. Тангенциальное ускорение,https://www.youtube.com/watch?v=-D_Ihv1hTR8&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=50,Yes
Урок 48. Задачи на неравномерное криволинейное движение,https://www.youtube.com/watch?v=CsM8hKs1P9A&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=51,Yes
Урок 49. Вращение с постоянным угловым ускорением,https://www.youtube.com/watch?v=djV47m_QA0Q&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=52,Yes
Урок 50. Задачи на вращение с пост. угловым ускорением,https://www.youtube.com/watch?v=dBgRUGZChLM&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=53,Yes
Урок 51. Первый закон Ньютона. Взаимодействие тел и их ускорение.,https://www.youtube.com/watch?v=gLxCiIRWtuE&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=54,Yes
Урок 52. Масса и ее измерение. Сила. Второй закон Ньютона. Равнодействующая.,https://www.youtube.com/watch?v=XAsji3sgMg4&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=55,Yes
Урок 53. Простейшие задачи на законы Ньютона,https://www.youtube.com/watch?v=HdMbxgjnEcc&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=56,Yes
Урок 54. Третий закон Ньютона. Принцип относительности Галилея,https://www.youtube.com/watch?v=OijNRhnYokY&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=57,Yes
Урок 55. Задачи на законы Ньютона,https://www.youtube.com/watch?v=K4T1sjFFgUM&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=58,Yes
